id,actorid_id,movieid_id
24119,nm1258970,tt1336608
24120,nm0005458,tt1448755
24121,nm0654110,tt1448755
24122,nm0000134,tt1448755
24123,nm0700712,tt1448755
24124,nm0949237,tt1448755
24150,nm1165110,tt2717822
24151,nm0910966,tt2717822
24152,nm2325018,tt2717822
24153,nm0205626,tt2717822
24154,nm0564697,tt2717822
24165,nm0000230,tt1211956
24166,nm0000216,tt1211956
24167,nm0001029,tt1211956
24168,nm0846687,tt1211956
24169,nm0752407,tt1211956
24170,nm1553725,tt1043726
24171,nm4719349,tt1043726
24172,nm0012078,tt1043726
24173,nm1861467,tt1043726
24174,nm1389482,tt1043726
24180,nm1882152,tt1325004
24181,nm0829576,tt1325004
24182,nm1500155,tt1325004
24183,nm0121605,tt1325004
24184,nm2014390,tt1325004
24185,nm0136797,tt1323594
24186,nm0781981,tt1323594
24187,nm1258970,tt1323594
24188,nm0000267,tt1323594
24189,nm0004715,tt1323594
24200,nm0001838,tt1186830
24201,nm1540404,tt1186830
24202,nm1209966,tt1186830
24203,nm1678557,tt1186830
24204,nm0003909,tt1186830
24235,nm0907548,tt1611224
24236,nm1002641,tt1611224
24237,nm1107001,tt1611224
24238,nm0935541,tt1611224
24239,nm0001722,tt1611224
24265,nm0666739,tt2369135
24266,nm1002641,tt2369135
24267,nm1782299,tt2369135
24268,nm3264596,tt2369135
24269,nm1785339,tt2369135
24300,nm0413168,tt1707386
24301,nm0000128,tt1707386
24302,nm0004266,tt1707386
24303,nm1086543,tt1707386
24304,nm0056187,tt1707386
24316,nm0000375,tt1231583
24317,nm0302108,tt1231583
24318,nm1157358,tt1231583
24319,nm0004937,tt1231583
24320,nm0000496,tt1231583
24321,nm1925239,tt1809398
24322,nm1727304,tt1809398
24323,nm1330560,tt1809398
24324,nm2032193,tt1809398
24325,nm1587729,tt1809398
24356,nm0056187,tt1645170
24357,nm0046223,tt1645170
24358,nm0541902,tt1645170
24363,nm0004937,tt1823664
24364,nm4832920,tt1823664
24365,nm0126284,tt1823664
24366,nm0134072,tt1823664
24367,nm0015382,tt1823664
24368,nm0000226,tt2381941
24369,nm3053338,tt2381941
24370,nm0553440,tt2381941
24371,nm0574468,tt2381941
24372,nm0763928,tt2381941
24373,nm0000702,tt1596350
24374,nm1517976,tt1596350
24375,nm0362766,tt1596350
24376,nm0001709,tt1596350
24377,nm1314546,tt1596350
24393,nm0000170,tt1855325
24394,nm0347149,tt1855325
24395,nm0735442,tt1855325
24396,nm2954597,tt1855325
24397,nm0508356,tt1855325
24428,nm0001409,tt3877200
24429,nm0384826,tt3877200
24430,nm0607375,tt3877200
24431,nm0369954,tt3877200
24432,nm0626362,tt3877200
24443,nm0001173,tt1418377
24444,nm2088803,tt1418377
24445,nm0001584,tt1418377
24446,nm0631490,tt1418377
24447,nm2541974,tt1418377
24534,nm0005188,tt1411704
24535,nm1258970,tt1411704
24536,nm0192505,tt1411704
24537,nm0000279,tt1411704
24538,nm0170550,tt1411704
24569,nm0000255,tt2267998
24570,nm0683253,tt2267998
24571,nm0000439,tt2267998
24572,nm1347153,tt2267998
24573,nm4689420,tt2267998
24604,nm0000243,tt1272878
24605,nm0000242,tt1272878
24606,nm1745736,tt1272878
24607,nm0001579,tt1272878
24608,nm0000200,tt1272878
24628,nm0000681,tt1078940
24629,nm0000867,tt1078940
24630,nm0522324,tt1078940
24631,nm0269463,tt1078940
24632,nm0015196,tt1078940
24651,nm0000246,tt1245526
24652,nm0000571,tt1245526
24653,nm0902794,tt1245526
24654,nm0113814,tt1245526
24655,nm0881631,tt1245526
24686,nm0001391,tt1477715
24687,nm3649692,tt1477715
24688,nm2241728,tt1477715
24689,nm0063966,tt1477715
24690,nm0000569,tt1598778
24691,nm1239049,tt1598778
24692,nm0387319,tt1598778
24693,nm4586999,tt1598778
24694,nm0000354,tt1598778
24740,nm2240346,tt1623288
24741,nm3235380,tt1623288
24742,nm0447695,tt1623288
24743,nm0000729,tt1623288
24744,nm2395586,tt1623288
24770,nm1517976,tt1205537
24771,nm0461136,tt1205537
24772,nm0000126,tt1205537
24773,nm0000110,tt1205537
